	Crude Probability 		
			
	N 	P Win	
cp	11	43.80%	
cp	12	45.90%	
cp	13	46.10%	
cp	14	45.90%	
cp	15	44.70%	
cp	16	45.00%	
cp	17	43.70%	
cp	18	42.30%	
cp	19	37.00%	
cp	20	30.90%	
bcp	13	46.10%	
	"Hit if DC <,>= N"		
	* your total 17>		
	N	<	>=
hw	2	42.40%	44.50%
hw	3	42.20%	44.10%
hw	4	42.70%	44.70%
hw	5	42.00%	44.60%
hw	6	41.70%	45.20%
hw	7	42.20%	44.90%
hw	8	42.60%	43.80%
hw	9	43.00%	42.70%
hw	10	42.40%	42.70%
hw	1	43.80%	43.80%
hw	11	44.60%	43.00%
bhw	11	44.60%	0.00%
bhw	6	0.00%	45.20%
